Id	Label	Note	Subjects	Versification	_description	Macaronic	Author(s)	Author confidence	Title(s)	Bibliographic Ghosts	Type
DIMEV 5625	"No records were found. Use the ""IMEV Number"" search menu to find the sample records entered in this prototype version of the database."				close						Text
DIMEV 5626	They priveth grittily		sins, deadly		The Four Evils of Pride — four lines						Text
DIMEV 5627	They that been true in loving		love, rewards of; translations	— two-line — aa	The fruits of true love — one couplet translating ‘Fideles in dileccione acquiescent ei’ (Wis. 3.9) which precedes it in John Grimestone’s sermon notebook		John Grimestone				Text
DIMEV 5628	They that without law do sin		sin; instruction, religious	— two-line — aa	An extract of twenty-eight lines from the Pricke of Conscience (lines 6071-6113), occurring separately				Pricke of Conscience		Text
DIMEV 5629	Thieves friend and lords purse		Jerome, saint; riddles; translations	— two-line — aa	A riddle on money, translating Latin ascribed to St. Jerome — one couplet						Text
DIMEV 5630	Thine father was a bond man		sermons, verse in; vanity, against worldly	— four-line — aabb	High birth is of no value — one quatrain in a sermon						Text
DIMEV 5631	Thine heart with spear sticked		mercy; Christ, sufferings of	— six-line — aabccb	Verses asserting that Mercy is assured through the Pains of Christ — one six-line stanza in John Grimestone’s sermon notebook		John Grimestone				Text
DIMEV 5632	Thine heritage if thou wilt win		heaven	— two-line — aa	The Narrow Path to Heaven — two couplets						Text
DIMEV 5633	Think and thank prelate of great price		Morton, John, bishop of Ely; occasional verse	— seven-line — ababbcc	Six ‘sotelties’ at the banquet for the elevation of John Morton to the Bishopric of Ely in A.D. 1479 — seven stanzas rhyme royal						Text
DIMEV 5634	Think heartily in thy thought		advice, spiritual	— eight-line — abababab	‘Knowe thy self & thy god’ — nine eight-line stanzas						Text
DIMEV 5635	Think man thy life may not ever endure		inscriptions; executors, criticism of	— monorhyme — aaaa	Warning against false executors — four monorhyming lines						Text
DIMEV 5636	Think man thy love was dear I-bought		Christ, address to humankind	— two-line — aa	Christ’s words to man — one couplet in John Grimestone’s sermon notebook		John Grimestone				Text
DIMEV 5637	Think man whereof thou art wrought		carols, of moral counsel	— four-line — aaab	Of the Tokens of God’s Displeasure — eight quatrains (aaab) and burden: ‘Man be wys & arys / & thynk on lyf þat lestenit ay’						Text
DIMEV 5638	Think man whereof thou art wrought		devotional verse	— ten-line — ababababcc	A mystical poem — seven l0-line stanzas with an ‘O and I’ refrain						Text
DIMEV 5639	Think never none ill		Christ, appeal of, to man; devil, speech of a; Satan	— two-line — aa	The Savior’s plea as compared with those of the World and the Devil — three couplets plus refrain ‘and come to me’						Text
DIMEV 5640	Think of the latemost day when we shall faren	Cf. 6339.	death	— four-line — aaaa	On Death — in monorhyming quatrains						Text
DIMEV 5641	Think of thy coat that is bright and gay		warnings; pride	— two-line — aa	A proverbial warning against pride — one couplet in John Grimestone’s sermon notebook		John Grimestone				Text
DIMEV 5642	Think oft mid sorrow of heart o thine sin	Cf. 5648.	warnings	— two-line — aa	A warning, inserted in the Ancrene Riwle, and also found separately — six lines				Ancrene Riwle		Text
DIMEV 5643	Think on him and have good mind	Cf. 6512.	Christ, Passion of	— two-line — aa	A couplet in the story of Emperor Fredericus in the Gesta Romanorum				Gesta Romanorum		Text
DIMEV 5644	Think on me and have in mind		Christ, appeal of, to man	— two-line — aa	Appeal of Christ to Man his ‘Leman’ — two couplets						Text
DIMEV 5645	Think on the doom that now is mine		death, warning of; warnings	— two-line — aa	A warning of death — two couplets						Text
DIMEV 5646	Think thank and pray		prayers, to God; prayers, for protection; prayers, thanksgiving; God, prayers to	— two-line — aa	Three things to do to win God’s aid — one couplet						Text
DIMEV 5647	Think that did his thee before		Doomsday	— two-line — aa	‘Quatuor precones ante diem Iudicii’ — two couplets				‘Quatuor precones ante diem Iudicii’		Text
DIMEV 5648	Thinken how swart thing and sooty is the sin	Cf. 5642.	warnings; advice, moral	— two-line — aa	A moral warning, inserted into a life of St. Margaret						Text
DIMEV 5649	Thirty days hath November	"Cf. Terry (1893)
XTerry, F. C. Birkbeck. “Thirty Days Hath September.” Notes and Queries 8th ser. 4 (1893): 77, citing Northall (1892)
XNorthall, G. F. English Folk-rhymes: A Collection of Traditional Verses Relating to Places and Persons, Customs, Superstitions, etc. London: Kegan Paul, Trench, Trübner & Co., 1892, 530; see also Opie and Opie (1951)
XIona Archibald Opie, and Peter Opie. The Oxford Dictionary of Nursery Rhymes. Oxford: Clarendon, 1951, 380. Also printed in Grafton (1570)
XGrafton, Richard. Chronicle. Abridgments. [London]: Richardi Tottyll. Cum priuilegio, [1562]. A variant, with first two lines reversed, pr. in Winter’s Cambridge Almanac for 1635, ed. Halliwell-Phillipps (1839)
XHalliwell-Phillipps, James Orchard. Rara Mathematica, or, A Collection of Treatises on the Mathematics and Subjects Connected with Them. London: John William Parker, 1839, 119."	calendar	— two-line — aa	The number of days in the twelve months — two couplets						Text
DIMEV 5650	Thirty-two teeth that keep full keen		mnemonics; utilitarian instructions	— two-line — aa	Mnemonic verses on the number of teeth, bones and veins — two couplets						Text
DIMEV 5651	Thirty virtues shall have he	mass, virtues of		— two-line — aa	‘The XXX Virtues of the Mass’ — 136 lines in couplets						Text
DIMEV 5652	This babe to us that now is born		carols, Nativity	— six-line — ababcc	A Christmas carol — five six-line stanzas (ababcc) with three-line refrain, ‘And thus it is / forsothe iwys / He askyth nouth but that is hys’ and burden: ‘Now may we syngyn as it is / Quod puer natus est nobis’	Latin					Text
DIMEV 5653	This blessed babe that thou hast born	For the earliest version (in couplets) see 3326; for other versions in quatrains see 2029 and 3424.	carols, of the Passion; Passion; dialogues, Virgin and Christ	— six-line — aaaabb	A carol of the Passion — five six line stanzas (aaaabb) including refrain, ‘Mari moder cum and se / Thy swet son nayled on a tre’ plus burden (bb): ‘Mary moder cum and se / Thy swet son nayled on a tre’						Text
DIMEV 5654	This blessed book that here beginneth		prologues, to prose texts	— four-line — abab	Prologue to Rolle’s Commentary on the Psalter (in one MS only) — 120 lines				Commentary on the Psalter		Text
DIMEV 5655	This book does pertain		bookplates		Georg Barclay, a rhyming note of ownership of a Winton’s Chronicle — twenty-four lines		Georg Barclay				Text
DIMEV 5656	This book hight Ipocras	Cf. 5390, lines 21-29, to which this generally corresponds.	medicine; prologues, to prose texts	— two-line — aa	A verse introduction to a prose medical text — varying lines, generally in couplets						Text
DIMEV 5657	This book is draw by physic		herbals; prefaces, to prose texts	— two-line — aa	A verse preface to Macer’s prose Virtues of Herbs — four lines				Virtues of Herbs		Text
DIMEV 5658	This book is I-come to the end	Cf. 3760.	envoys	— two-line — aa	One couplet in Ayenbite of Inwyt				Ayenbite of Inwyt		Text
DIMEV 5659	This book is I-write		prologues, to prose texts	— two-line — aa	Rhyming introduction to the Ayenbite of Inwyt — nine couplets				Ayenbite of Inwyt		Text
DIMEV 5660	This book is one and Gods curse is another		bookplates	— four-line	A common medieval bookplate — one couplet						Text
DIMEV 5661	This book let translate here in sight	"Cf. 4231, 6868; non-source-specific editions are Park (1806)
XPark, Thomas. A Catalogue of the Royal and Noble Authors of England, Scotland, and Ireland. 5 vols. London: Scott, 1806l by Horace Walpole; orig. 2 vols 1758, 1.216; Dibdin (1810)
XDibdin, Thomas Frognall. Typographical Antiquities. Revised Joseph Ames and William Herbert. 4 vols. London: Bulmer, 1810, 1812, 1816, 1818, 1.62-63"	dedications	— two-line — aa	Earl Rivers’ dedicatory verses to his translation of Dictes of Philosophers, a verbatim copy of The Dictes or Sayengis of the Philosophres, Caxton, 1477 (November, 1477), dated about six weeks later — six couplets		Anthony Wydeville (earl Rivers)		Dictes of Philosophers (Rivers)	New York, Pierpont Morgan Library B11	Text
DIMEV 5662	This book showeth to clerks mystical cunning		prologues, to prose texts	— two-line — aa	Prologue to Certayne Principall Questions drawen oute of Raymundes Questyonary [actually a translation of Norton’s Latin Prologue to his Ordinal; cf. 6014] — twenty couplets		Thomas Norton		Certayne Principall Questions drawen oute of Raymundes Questyonary		Text
DIMEV 5663	This book thus to have ended had I thought		prologues	— seven-line — ababbcc	Thomas Hoccleve, ‘The Tale of Jonathas,’ translated from the Gesta Romanorum, including a prologue or link of twelve stanzas rhyme royal, one of several works in verse and prose that form Hoccleve’s Series, usually preceded by 4879 and followed by a prose moralitas, but sometimes occurring separately—96 stanzas rhyme royal plus prologue of twelve stanzas.		Thomas Hoccleve		Tale of Jonathas		Text
DIMEV 5664	This book wrote William Thame / God keep him from sin and shame		prayers, asked on behalf of scribes; scribes, prayers requested for	— two-line — aa	Scribe’s colophon — three couplets						Text
DIMEV 5665	This bread giveth eternal life	Stanza 2 = 2754.	Eucharist; carols, of the Eucharist	— four-line — aaab	James Ryman, a song of the Eucharist — six quatrains (aaab) with refrain, ‘Ete it so ye be no dede’ and burden: ‘Ete ye this brede ete ye this brede / And ete it so ye be not dede’		James Ryman				Text
DIMEV 5666	This brevit book of sober quantity		treatises, devotional	— eight-line	?William of Tours, Friar, ‘The Contemplacioun of Synnaris’ — 1560 lines in eight-line stanzas		William of Tours		‘The Contemplacioun of Synnaris’		Text
DIMEV 5667	This chapel flourished with foremost spectable		inscriptions; Cantlow, John, Prior of Bath; Bath, Somerset; Mary Magdalene, saint	— four-line — abab	Inscription dedicating chapel to Mary Magdalene — four lines						Text
DIMEV 5668	This child is was and ay shall be		carols, Nativity	— three-line — aab	James Ryman, a Nativity carol — ten 3-line stanzas (aab) with refrain (b), ‘There is a childe a heuenly childe’ and burden (bb): ‘Ther is a chielde a heuenly childe / Iborne this nyght of Marie myelde’		James Ryman				Text
DIMEV 5669	This child then worship we		Christ, prayers to	— four-line — abab	Bidding to worship the child Jesus — one cross-rhymed quatrain						Text
DIMEV 5670	This cross that here painted is		illustrations, verse accompanying; cross	— two-line — aa	Text attached to a picture of the Rood of Bromholm						Text
DIMEV 5671	This day Saint John the gospeller	For other MSS see 6049; for the version in the ‘expanded’ Cycle see 5394.	sermon texts, Gospel	— two-line — aa	Gospel for Fourth Sunday in Advent, in the Northern Homily Cycle				Northern Homily Cycle		Text
DIMEV 5672	This day Saint Luke telleth us	For other MSS see 6047; for the version in the ‘expanded’ Cycle see 4687.	sermon texts; gospels	— two-line — aa	Gospel for Second Sunday in Advent, in the Northern Homily Cycle				Northern Homily Cycle		Text
DIMEV 5673	This day Saint Matthew tells us	For the version in the ‘expanded’ Cycle see 4726.	sermon texts, Gospel	— two-line — aa	Gospel for the Twenty-third Sunday after Trinity, in the Northern Homily Cycle				Northern Homily Cycle		Text
DIMEV 5674	This day Saint Matthew tells us	For the version in the ‘expanded’ Cycle see 4727.	sermon texts, Gospel	— two-line — aa	Gospel for Twentieth Sunday after Trinity, in the Northern Homily Cycle				Northern Homily Cycle		Text
DIMEV 5675	This day Whitsunday is called		sermon texts, Gospel	— two-line — aa	Gospel for Whitsunday, in the Northern Homily Cycle				Northern Homily Cycle		Text
DIMEV 5676	This Dyane day the first in the month of May		May, songs of; envoys	— five-line, eight-line — aabab, ababbcbc	"Charles d’Orléans, thoughts on pleasures of past May months, translated from the French (Champollion-Figeac (1842)
XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 107) — three eight-line stanzas (ababbcbc) and 5-line Envoy"		Charles d’Orléans				Text
DIMEV 5677	This ender day / As I went to play		chanson d’aventure; romance	— four-line — aaab	In the manner of a chanson d’aventure — 32 lines in eight rhymed quatrains						Text
DIMEV 5678	This ender day befell a strife		carols, of marriage; marriage	— four-line — aaab	The Old Man Worsted — four quatrains (aaab) and burden: ‘Hey howe / Sely men God helpe yowe’						Text
DIMEV 5679	This ender day I met a clerk		carols, amorous; women, as speakers/narrators	— four-line — aaab	Complaint of a betrayed maiden — four quatrains (aaab) and burden: A dere god qwat I am fayn / For I am madyn now gane						Text
DIMEV 5680	This ender day when me was woe		carols, amorous; chansons d’aventure	— three-line — aab	Fragment of a carol, probably on an amorous theme — one 3-line stanza and burden: ‘I have loued so many a day / Ligthly spedde bot better I may’						Text
DIMEV 5681	This ender night half sleeping as I lay		patronage, pleas for; James IV, king of Scotland; dreams	— five-line — aabba	William Dunbar, ‘The dreme’, a plea for money to King James IV — twenty-three 5-line stanzas		William Dunbar		‘The dreme’		Text
DIMEV 5682	This ender night / I heard a wight		Christ, complaint to man	— six-line	‘Alas I dye for payne’, Christ’s complaint — one six-line tail-rhyme stanza				‘Alas I dye for payne’		Text
DIMEV 5683	This ender night / I saw a sight / A maid a cradel keep	Cf. 2089 for the same burden.	carols, lullaby; dialogues, Virgin and Christ	— six-line — aabccb	The Complaint of the Child Jesus to his Mother — nine six-line stanzas (aabccb) and burden: ‘Lullay my chyld & wepe no more / Slepe & be now styll / The kyng of blys this fader ys / As it was hys wyll’						Text
DIMEV 5684	This ender night / I saw a sight / All in my sleep		carols, lullaby; dialogues, Virgin and Christ	— eighteen-line — aabccbddeffegghiih	A cradle song of the Virgin Mary — in 18-line stanzas, with 7-line burden: ‘A my dere a my dere son / Seyd Mary a my dere / [lines repeated] / Kys thy moder Jhesu / Kys thi moder Jhesu / With a lawghyng chere’						Text
DIMEV 5685	This ender night in Dumfermline		patronage, pleas for	— seven-line — aabbcbc	William Dunbar, ‘The Wooing of the King quhen he wes in Dumfermeling’ (The Tod and the Lamb) — ten seven-line stanzas		William Dunbar		‘The Wooing of the King quhen he wes in Dumfermeling’		Text
DIMEV 5686	This ender night / When stars shone bright		chansons d’aventure ; dialogues, Christ and man; Christ, love to sinners	— six-line, two-line — aa	A dialogue between Christ and the Sinner, with chamson d’aventure opening — two six-line tail-rhyme stanzas and nineteen couplets						Text
DIMEV 5687	This ender year I heard be told		romances; allegories	— eight-line — abababab	Robert Henryson, ‘Bludy Serk’ — fifteen eight-line tail-rhyme stanzas		Robert Henryson		‘Bludy Serk’		Text
DIMEV 5688	This false mans thought was all in sin	For other versions see 4525, 5750, 5751, and 5752.	usury; devil; debates, between angels and devils	— two-line — aa	Dispute between demons and angels at the death-bed of a usurer — eleven couplets						Text
DIMEV 5689	This far from you am I lady mistress		lovers, addresses to beloved; envoys	— ten-line, four-line — ababbccdcd, abba	"Charles d’Orléans, The pangs of true love, translated from the French (Champollion-Figeac (1842)
XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 60) — three l0-line stanzas (ababbccdcd) and four-line Envoy"		Charles d’Orléans				Text
DIMEV 5690	This feast is knowed among mankind	For the South English Legendary version see 362 and 4258.	sermon texts	— two-line — aa	All Souls’ Day, in the ‘expanded’ Northern Homily Cycle				Northern Homily Cycle ; All Souls’ Day		Text
DIMEV 5691	This flower is fair and fresh of hue		carols, to Virgin Mary; Virgin Mary, carols to	— six-line — aaaabb	John Audelay, The Flower of Jesse, a song in praise of the Virgin Mary — seven six-line stanzas (aaaabb) and burden: ‘There is a floure spr[u]ng of a tre / The rote þerof is callid jesse / A floure of pryce / Þer is non seche in paradise’	Latin	John Audelay		The Flower of Jesse		Text
DIMEV 5692	This good book Recluse here now maketh end		epilogues, to prose texts	— two-line — aa	Couplet at end of a prose Regula anachoritarum						Text
DIMEV 5693	This hardy fool this bird victorious		Henry VI; occasional verse; envoys	— seven-line — ababbcc	John Lydgate, Balade on a New Year’s Gift of an Eagle presented to King Henry VI in 1428 — eleven stanzas rhyme royal and Envoy		John Lydgate		Balade on a New Year’s Gift of an Eagle presented to King Henry VI in 1428		Text
DIMEV 5694	"No records were found. Use the ""IMEV Number"" search menu to find the sample records entered in this prototype version of the database."				close						Text
DIMEV 5695	This heavenly book more precious than gold		colophons	— eight-line	Wynkyn de Worde, colophon at the end of Hilton’s Scala Perfectionis — one eight-line stanza		Wynkyn de Worde				Text
DIMEV 5696	This hid stone is but one thing therefore putrify	Cf. 1314.	alchemy; philosopher’s stone	— three-line — irregular	A note on the Philosopher’s Stone — three lines						Text
DIMEV 5697	This high feast for to magnify	In all three MSS, ends at line 224 with note, ‘Shirley could find no more of this text’.	Corpus Christi, feast of	— eight-line — ababbcbc	John Lydgate, ‘Procession of Corpus Christi’ — twenty-eight eight-line stanzas (ababbcbc)		John Lydgate		‘Procession of Corpus Christi’		Text
DIMEV 5698	This holy ghosts might	For a slightly later text see 2042.	warnings, to sinners	— six-line — aabaab, aabccb	Verses warning Sinners to beware — fifty-nine six-line stanzas (aabaab or aabccb)						Text
DIMEV 5699	This holy time make thou clean		evils of the times; confession, exhortation to	— eight-line — ababbcbc	‘With god of loue & pes ȝe trete’ — twenty-four eight-line stanzas with this refrain						Text
DIMEV 5700	This holy time our Lord was born	For a variant see 2640.	carols, Nativity	— four-line — aaab	A Nativity carol — one quatrain (aaab) and burden: ‘Now euery man at my request / Be glad & mery all in this fest’						Text
DIMEV 5701	This is a rule to know without labor		moon, changes of; introductions, to prose texts; utilitarian instructions	— two-line — aa	A couplet introducing a prose table on the changes of the moon					London, British Library Harley 2252 : the prose text does appear on f. 159v, but the verse introduction does not.	Text
DIMEV 5702	This is a wonder merry play and long shall last		Fortune, fickleness of	— two-line — aa	On the Fickleness of Fortune — four couplets						Text
DIMEV 5703	This is bread to praise		Host; Eucharist; sermons, verse in; prayers, on sacraments; Sacrament, blessed; Blessed Sacrament	— six-line — abcbdb	Prayer of praise for corpus christi, in a Latin sermon — six lines						Text
DIMEV 5704	This is Christs own complaint	Stanza 9 = stanza 9 of 5707.	Christ, complaint of, to man; dialogues, Christ and man	— twelve-line — ababababbcbc	The Complaint of Christ to Man and Man’s Answer (stanza 10) — ten twelve-line stanzas with refrain, ‘Why art þou to þy frende vnkynde’				The Complaint of Christ to Man and Man’s Answer		Text
DIMEV 5705	This is Dorothy Helbartun book		women; bookplates	— two-line — aa	Prayer for the recipient of the book, one Dorothy — one couplet						Text
DIMEV 5706	This is Erkynwalle Gyttyns book		ownership; verse curses	— two-line — aa	Verse ownership inscription and curse — two lines on a fly leaf						Text
DIMEV 5707	This is Gods own complaint	See also 5704.	God, appeal of, to man; dialogues, God and man	— twelve-line — ababababbcbc	The Complaint of God — eleven 12-line stanzas (ababababbcbc) with refrain, ‘Whi art þou to þi frend vnkinde’				The Complaint of God		Text
DIMEV 5708	This is John Hancock is book		bookplates; Hancock, John, book owner; hell	— two-line — aa	Book plate consigning Thomas Carter to hell — one couplet						Text
DIMEV 5709	This is Master William Bromwells book		bookplates; William Bromwell	— two-line — aa	Bookplate — one couplet						Text
DIMEV 5710	This is my body as ye may see		Christ, body of	— two-line — aa	Christ’s words of institution — one couplet after the heading ‘Hoc est corpus meum’ in John Grimestone’s preaching notebook		John Grimestone				Text
DIMEV 5711	This is my mistress book		bookplates; women	— four-line — abab	Bookplate for a woman’s book — one cross-rhymed quatrain						Text
DIMEV 5712	This is my song in my old age	See also 4929, 6515.	old age; death, fear of	— twelve-line — ababababbaba	A song of Old Age with the burden, ‘Timor mortis conturbat me’ — nine twelve-line stanzas						Text
DIMEV 5713	This is no life alas that I do lead	Followed by 3666.	lover’s lament	— seven-line — ababbcc	On the Cruelties of his Mistress — three stanzas rhyme royal						Text
DIMEV 5714	This is the book of William Tucke		bookplates; Tucke, William, book owner	— two-line — aa	A Book Plate of William Tucke (late fifteenth century) — two couplets						Text
DIMEV 5715	This is the book that I thee take	Cf. 675.	Merlin; catechisms, science and biblical lore	— two-line — aa	‘Rhasis Cestrensis de 12 aquis’ with a prefatory Dialogue between Rhasis and his son Merlin — the opus (‘Doctrina Patris ad Merlinum’) in twenty paragraphs in couplets				‘Doctrina Patris ad Merlinum’; ‘Rhasis Cestrensis de 12 aquis’		Text
DIMEV 5716	This is the generation		Christ, genealogy of	— two-line — aa	‘Genelogia Christi’, in the ‘expanded’ Northern Homily Cycle				Northern Homily Cycle		Text
DIMEV 5717	This is the king of the great empire		alchemy	— two-line — aa	Alchemical verses — in couplets						Text
DIMEV 5718	This is the prophecy that they have in Wales		London; prophecies, political; political poems	— seven-line — ababbcc	The fall of London, a political prophecy — two stanzas rhyme royal						Text
DIMEV 5719	This is the song that ye shall hear		carols, Nativity	— four-line — aaab	A Nativity carol — four quatrains (aaab) and burden: ‘An heuenly songe y dare wel say / Is sunge in erthe to man this day’						Text
DIMEV 5720	This is the stone cut of the hill		carols, Nativity	— six-line — ababbb	James Ryman, The Prophecy of Emmanuel — six six-line stanzas (ababbb, including a 3-line refrain, ‘Nomen eius emanuell / Scripture full welle to vs doth tell / Nomen eius emanuell’, and burden: ‘A chielde is borne with vs to dwell / Nomen eius emanuell’	Latin	James Ryman		The Prophecy of Emmanuel		Text
DIMEV 5721	This is the will that God is in		sermons, verse in; sins, deadly; penance; God, will of	— two-line — aa	God’s wish that man be pure — one couplet in a Latin sermon						Text
DIMEV 5722	This is thy seat doomsman	Cf. 542.	translations; justice	— two-line — aa	Three couplets.						Text
DIMEV 5723	This journey thou shalt withstand		prognostications; journeys, prognostications concerning; glosses; translations	— two-line — aa	Couplets scattered in text of Bernardus Sylvestris, Experimentaris…		Bernardus Sylvestris				Text
DIMEV 5724	This joyous time this fresh season of May		May, poems of; envoys	— nine-line, four-line — ababbcdcd, abab	"Charles d’Orléans, ‘The most woofull caytyf of fraunce’, translated from the French (Champollion-Figeac (1842)
XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 66) — three 9-line stanzas (ababbcdcd) and four-line Envoy"		Charles d’Orléans		‘The most woofull caytyf of fraunce’		Text
DIMEV 5725	This king Herod with unright	For other MSS see 5353.	John the Baptist, saint; Herod	— two-line — aa	Herod and John the Baptist, in the Northern Homily Cycle				Northern Homily Cycle		Text
DIMEV 5726	This lady clear	Refrain same as that for 6563.	love, divine and human; devotional verse; songs; Jons, R.	— six-line — aabccb	Man’s soul as his true love — three six-line tail-rhyme stanzas with a secular burden: ‘Who shall haue my fayr lady / who but I who but I who / who shall haue my fayr lady / who hath more ryght therto’						Text
DIMEV 5727	This land was first by Gods ordinaunce		political poems; Edward IV, right of succession; England, kings of; Yorkist lords	— seven-line — ababbcc	‘Titulus Regis Edwardi Quarti’, the Yorkist genealogical chronicle — 27 stanzas rhyme royal				‘Titulus Regis Edwardi Quarti’		Text
DIMEV 5728	This lion the young in holy writ I-cleped is		Leo II, pope; saints’ lives	— two-line — aa	Life of Pope Leo II, in one MS of the South English Legendary				South English Legendary		Text
DIMEV 5729	This little prose declareth in figure	18th-century transcript by Ainsworth [uncertain of which MS] is London, British Library Addit. 38179, f. 60v.	envoys	— eight-line — ababbcbc	John Lydgate, the Envoy to Lydgate’s prose Serpent of Division — three eight-line stanzas		John Lydgate		Serpent of Division		Text
DIMEV 5730	This may that love not lusten for to sleep		roundels; May, poems of	— fourteen-line — abbaabababbaab	"Charles d’Orléans, a roundel, translated from the French (Champollion-Figeac (1842)
XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 25) — 14 lines"		Charles d’Orléans				Text
DIMEV 5731	This mighty William Duke of Normandy	Some MSS have further stanzas added, but not by Lydgate; for variant text with prefixed additional kings, see 1472 and for couplet-version sometimes incorporating lines from this one, see 727.	historical poems; England, kings of	— seven-line — ababbcc	John Lydgate, Verses on the Kings of England (to Henry VI) — generally fifteen stanzas rhyme royal, but there are many variants		John Lydgate		Verses on the Kings of England (Lydgate)	Oxford, Bodleian Library Digby 196 (SC 1797), ff. 65- : see 3158; London, British Library Lansdowne 210, ff. 14v-42v: moved to 1472; Oxford, Bodleian Library Douce g.2 (SC 22005), a roll: moved to 727; Sotheby Sale, 24 June 1980, lot 42 (New Haven, Yale University, Beinecke Library, Takamiya Deposit 52): moved to 727; Oxford, Bodleian Library, Ashmole 456 (printed book)	Text
DIMEV 5732	This minion is in London		songs; clothing, against extremes of; servants	— six-line — aabccb	A fine mistress — four 6-line stanzas (aabccb) with burden (cc): ‘Mynyon fo trym go trym / & mynyon go trym go trym’						Text
DIMEV 5733	This month of May withouten peer princess		roundels; lovers, addresses to beloved; May, songs of	— fourteen-line — abbaabababbaab	"Charles d’Orléans, a roundel, translated from the French (Champollion-Figeac (1842)
XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 31) — 14 lines"		Charles d’Orléans				Text
DIMEV 5734	This name is also an honeycomb that giveth us savour and sweetness		Christ, name of; devotional verse; songs	— four-line — aaaa	On the name of Jesu — four long monorhyming lines by Friar William Herebert		William Herebert (friar)				Text
DIMEV 5735	This name Vincentius to say		Vincent, saint, life of; saints’ lives	— two-line — aa	Life of St. Vincent in the Scottish Legendary				Scottish Legendary		Text
DIMEV 5736	This new fruit of which I spe…and…		devotional verse; Christ, attributes of	— irregular — two-line	The seed sown in man’s heart by Christ the gardener — probably thirteen long lines irregularly rhymed; ten lines incomplete, 5 couplets, line 8 corrupt	aa					Text
DIMEV 5737	This night before the dawing clear		friars, criticism/satire of; Francis of Assisi, saint; dream visions	— five-line — aabba	William Dunbar, ‘How Dunbar wes desyred to be ane freir’ — ten 5-line stanzas		William Dunbar		‘How Dunbar wes desyred to be ane freir’		Text
DIMEV 5738	This night I will wend my way tide that betide		charms; thieves; apostles	— two-line — aa	A charm against thieves by the four Apostles — in couplets						Text
DIMEV 5739	This night in my sleep I was aghast		devil; Satan	— five-line — aabab	William Dunbar, ‘The Devillis Inquest’ — thirteen or seventeen 5-line stanzas (aabab) with refrain, ‘Renunce ȝour god and cum to me’.		William Dunbar		‘The Devillis Inquest’		Text
DIMEV 5740	This night there is a child born	A variant of 93.	carols, Nativity	— four-line — aaab	A Christmas carol — four quatrains (aaab) with refrain, ‘Verbum caro factum est’ and burden: ‘All this tyme this songe is best / Verbum caro factum est’						Text
DIMEV 5741	This other day	"Preceded by 257. See Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 1666."	carols, amorous; love, vicissitudes of; chansons d’aventure	— six-line — aabaab	A disconsolate mistress comforted — nine six-line tail-rhyme stanzas with 2-line burden: ‘Hey nony nony nony nony no’ (repeated)						Text
DIMEV 5742	This Palamon in his bed lay		dialogues, lovers’	— four-line — abab	Palamon and Ersyte — five quatrains (abab)				Palamon and Ersyte		Text
DIMEV 5743	This present book legible in scripture		Harpur, John, of Rushall (Staffs.); bookplates	— eight-line — ababbcbc	Three eight-line stanzas (ababbcbc) written on a chained Psalter belonging to John Harpur, who established the parish of Rushall, Staffordshire						Text
DIMEV 5744	This rose is railed on a rice		carols, to Virgin Mary; Virgin Mary, carols to	— four-line — aaab	A macaronic song in praise of the Virgin Mary — five quatrains (aaab) and burden: ‘Off a rose synge we / Misterium mirabile’	Latin					Text
DIMEV 5745	This royal King Robert of Sicily land	Cf. 4415.	Robert of Sicily; tales	— seven-line, four-line — ababbcc, aabb	A story of Kyng Robert of Sicily — one stanza rhyme royal and eighteen quatrains						Text
DIMEV 5746	This rule is good		prognostications; calendars	— two-line — aa	A series of couplets used as headings in a prognosticatory calenda						Text
DIMEV 5747	This St. Ninian I of say		Ninian, saint, life of; saints’ lives	— two-line — aa	Life of St. Ninian in the Scottish Legendary						Text
DIMEV 5748	This senator that sometime was ruler of Rome		riddles; ages of man’s life	— six-line — abbacc	A mathematical riddle — six lines						Text
DIMEV 5749	This silver plate and rich array		vanity, against worldly	— four-line — abab	Verses asserting that worldly pomp is unnecessary — one cross-rhymed quatrain						Text
DIMEV 5750	This sinful man in deed and thought	For other versions see 4525, 5688, and 5752.	debates, between angels and devils; devil; usury	— two-line — aa	Warnings or promises of four demons and four angels, in a Latin didactic treatise						Text
DIMEV 5751	This sinful man said in his thought	A variant version from those in 4525, 5688, and 5752.	debates, between angels and devils; devil; sermons, verse in; translations	— two-line — aa	Speeches by demons and angels at the death-bed of a tyrant — eight couplets scattered in a Latin prose sermon						Text
DIMEV 5752	This sinner in himself he said	For other versions see 4525, 5688, and 5750.	debates, between angels and devils; devil; usury	— two-line, four-line — aa	Dispute between demons and angels at the death-bed of a usurer — five couplets, three quatrains, and two tail-rhymed stanzas						Text
