Id	First Line	Description	Title(s)	Author(s)	Subject(s)	Versification	Note
DIMEV 4939	So it befell upon a day	Gospel for the Fourth Sunday after Epiphany incorrectly headed: ‘Dominica iiij post octavam Epiphie’ in the ‘expanded’ Northern Homily Cycle	 Northern Homily Cycle		sermon texts, Gospel	— two-line — aa	For the usual version see 4723.
DIMEV 4940	So long I have lady	The devoted but unrequited lover, in a Latin sermon — one cross-rhymed quatrain			love, unrequited; sermons, verse in	— four-line — abab	Cf. 6155.
DIMEV 4941	So long thou may on the stone spit	A proverbial couplet			proverbs	— two-line — aa	
DIMEV 4942	So noble medicine ne so sovereign	(?)John Lydgate, ‘How the plage was sesyd in rome’ — one 8-line stanza and five stanzas rhyme royal	 ‘How the plage was sesyd in rome’	John Lydgate	Rome; pestilence	— eight-line, seven-line — ababbcc	
DIMEV 4943	So proper caps	(?)John Skelton, ‘The maner of the world now a dayes’ — in quatrains with refrain	 ‘The maner of the world now a dayes’	John Skelton	evils of the times	— four-line	
DIMEV 4944	So put in fear I dare not speak	A lover’s lament on his wounded heart — three stanzas rhyme royal			lover’s lament	— seven-line — ababbcc	
DIMEV 4945	So shall I love thee shall I love thee	Marginalia, perhaps from a popular song — three lines			love lyrics; songs; fragments	— three-line — aaa	
DIMEV 4946	So sit fairhead in woman sooth	Two proverbs — two couplets			proverbs	— two-line — aa	
DIMEV 4947	So that mankind through none man no might be redressed	Two couplets, separated by English prose, in a Latin prose text			redemption; Christ, gifts of; Christ, love of	— two-line — aa	
DIMEV 4948	So the compass goes even about	On duty — a verse inscription on the wall of Melrose Abbey			inscriptions; epitaphs; evils of the age	— irregular	
DIMEV 4949	So thirled with the point of remembrance	‘The Compleynt of Anelida the quene upon fals Arcite’, included in Chaucer’s Anelida and Arcite, but here occurring separately — twelve 9-line stanzas and two 16-line stanzas, including Proem and Conclusion	 Compleynt of Anelida the quene upon fals Arcite	Geoffrey Chaucer	complaints, lovers’	— nine-line, sixteen-line — aabaabbab, aaabcccbdddbeeeb	For Anelida and Arcite, see 5823.
DIMEV 4950	So treated they that his son wed	On the marriage of Robert II to Elizabeth Moor — two popular couplets in the chronicles of Fordun and Wintoun			marriage; Robert II, king of Scotland; Moor, Elizabeth	— two-line — aa	
DIMEV 4951	Softly sin ginneth in wind	Sin is like a snake — one couplet translating ‘Ingreditur blande set in nouissimo mordebat vt colub[er]’ (Prov. 23.31-2) which precedes it in John Grimestone’s sermon notebook		John Grimestone	translations; sin	— two-line — aa	
DIMEV 4952	Solitary life whoso doth use	On the solitary life — ninety-six lines in thirteen eight-line stanzas			religious observance	— eight-line — ababbcbc	
DIMEV 4953	Solomon sat and said many sooth saws	‘Prouerba Solomonis’ — 35 lines, generally in 6-line stanzas (aaaabb) with an ‘0 and I’ refrain			advice, moral	— six-line — aaaabb	Formerly 3069.
DIMEV 4954	Solomon sayeth there is none accord	Proverbs in English — thirty lines in couplets			proverbs; precepts	— two-line — aa	Formerly duplicated in Robbins and Cutler (1965) XRossell Hope Robbins, and John L. Cutler. Supplement to the Index of Middle English Verse. Lexington, Kentucky: University of Kentucky Press, 1965 by 3068.5; lines 25-26 same as lines 1-2 of 6621.7 and includes lines corresponding to 3162, 6594.
DIMEV 4955	Solomon the wise he taught in his life	An anti-marital carol — 6 five-line stanzas (aaaab) and burden: ‘All fresche, all fresch, fresch is my song’			marriage, against; carols, satirical	— five-line — aaaab	
DIMEV 4956	Some be merry and some be sad	Carol on the different kinds of women — six 6-line stanzas (aaabccb) including refrain, ‘Yet all be not so / For sum be lewde & sum be shrewed / Go shrew wher so euer ye go’, and burden (dd): ‘Women women love of women / Makeþ bare pursis wiþ sum men’.			carols, of women; women	— six-line — aaabcb	
DIMEV 4957	Some deserve ere they desire	On unequal distribution — two short couplets, ‘quod Carter’		Carter	aphorisms	— two-line — aa	
DIMEV 4958	Some do intend	Do not wait until you are old before you marry a rich wife — five quatrains			advice; marriage	— four-line	Immediately preceded by 3997.
DIMEV 4959	Some fastens fast for forty year	Fragment of an ubi sunt poem in praise of Arthur, Gawain, Alexander, etc. — three quatrains			knights, behavior of; Arthur, king; Arthurian literature; Gawain, stories of	— four-line — abab	
DIMEV 4960	Some gay squire of Devonshire	Tag translating Latin, ‘Cuidam armigere curioso de comitatu deuanie…’ which follows it, in a series of Latin sentences with English translations in a schoolbook			school lessons; schoolboy exercises; translations; nonsense verse	— two-line — aa	
DIMEV 4961	Some horns do wear and blow them not	On cuckoldry — one couplet			adultery; cuckoldry; proverbs	— two-line — aa	
DIMEV 4962	Some man goeth still of wisdom and reason	(?) John Lydgate, Verses advising to guard your tongue — twenty-two 8-line stanzas (ababbcbc) with refrain, ‘Alle goo we stille the Cock hath lowe shoon’		John Lydgate (?)	tongue, destructive power of	— eight-line — ababbcbc	
DIMEV 4963	Some man is a giver / And is the richer	On the rewards of almsgiving — one couplet			almsgiving; fragments; inscriptions	— two-line — aa	
DIMEV 4964	Some manner matter would I fain move	Truth and Conscience — thirteen 12-line stanzas (ababbcbccdcd) including refrain, ‘Can tell where Conscyens ys become’			allegories; evils of the times	— twelve-line — ababbcbccdcd	Fourth stanza has an additional four lines (dede); 160 lines in all.
DIMEV 4965	Some men offered him boists of rich spicery	Generalizations about men’s activities, perhaps at a fair, in a Latin sermon — three couplets			feasts; sermons, verse in	— two-line — aa	
DIMEV 4966	Some men sayen that I am black	A Verse Riddle — six quatrains (abab)			riddles; women, as speakers/narrators	— four-line — abab	
DIMEV 4967	Some men speak much evil by women	Richard Hatfield, a punctuation poem against women — one stanza rhyme royal		Richard Hatfield	punctuation poems; women, against	— seven-line — ababbcc	For similar poems, cf. 406 and 6239.
DIMEV 4968	Some men weens that Barnabas	Life of St. Barnabas in the Scottish Legendary	 Scottish Legendary		Barnabas, saint, life of; saints’ lives	— two-line — aa	
DIMEV 4969	Some send elves	Six lines on Wade, inserted in a Latin sermon on humility — two roughly-rhyming triplets			charms; sermons, verse in	— three-line — aaa	
DIMEV 4970	Some while I was with sin I-bound	La Estorie del Euangelie — 1876 lines in monorhyming quatrains	 La Estorie del Euangelie		translations; scripture texts, paraphrases; Christ, life of	— four-line — aaaa, aabb	See 442, 1954 for the end of this work preserved separately; and 1907 for extracts totalling 260 lines inserted in one MS of the ‘Northern Passion’, printed Foster (1913) XFoster, Frances Allen. The Northern Passion. EETS o.s. 145, 147 (1913, 1916); repr. 1971.
DIMEV 4971	Some time I loved as ye may see	A Slighted Lover’s Complaint — nine quatrains (aaab) and burden (b): Who so lyst to loue god send hym right good spede			carols, amorous; complaints, lovers’	— four-line — aaab	
DIMEV 4972	Sometime I loved so do I yet	The Delivered Lover — eight quatrains (aaab) and burden (cb): ‘Vp son and mery wether / Somer draweth nere’			carols, amorous	— four-line — aaab	
DIMEV 4973	Sometime a king lived in this land	The Melancholy King, a Narratio in the ‘expanded’ Northern Homily Cycle	 Northern Homily Cycle		exempla	— two-line — aa	For the usual texts see 601 and 644; cf. also 2655.
DIMEV 4974	Sometime as men may understand	Life of St. Katharine of Alexandria (version in short lines)			Katherine of Alexandria, saint, life of; saints’ lives		
DIMEV 4975	Some time befell so in this land	Thais, a Narratio in the ‘expanded’ Northern Homily Cycle	 Northern Homily Cycle		Thais, saint; exempla		For the usual text see 56 and 5598.
DIMEV 4976	Sometime I have you seen	Warning to those in high estate that their fortune is temporary — one quatrain plus refrain(?)			mutability; transitoriness, of world; Fortune, fickleness of	— four-line — abab	
DIMEV 4977	Sometime in France dwelled a plowman	‘A lytell geste how the plowman lerned his pater noster’ — 207 lines in couplets			exempla; tales; instruction, religious; plowman	— two-line — aa	
DIMEV 4978	Some time in Greece that noble region	Eight Goodly Questions (an expansion of part of ‘Septem Sapientium Sententiae’, by Ausonius) — nine stanzas rhyme royal	 ‘Septem Sapientium Sententiae’	Ausonius	tales; wise men; wisdom	— seven-line — ababbcc	
DIMEV 4979	Some time in Rome a pope there was	The trental of Saint Gregory — 101 couplets	 Trentalle Sancti Gregorii		tales; Gregory, saint	— two-line — aa	For other versions, cf. 134, 762, 2777, and 4980.
DIMEV 4980	Sometime in Rome a pope there was	The Life of St. Gregory’s Mother [=Trental] — in quatrains			Gregory, saint, mother of; tales; fragments	— four-line	Cf. 134, 2777, 4979 for other versions.
DIMEV 4981	Sometime is was a poor servitor	A roundel by Charles d’Orléans — 14 lines		Charles d’Orléans	roundels; lovers lament	— fourteen-line — abbaabababbaab	
DIMEV 4982	Sometime it was the guise among the wise	‘Of Knyghthode and Bataile’ — 3023 lines in rhyme royal (a translation of Vegetius, De Re Militari	 de Re Militari; ‘Of Knyghthode and Bataile’	Flavius Vegetius	translations; warfare	— seven-line — ababbcc	
DIMEV 4983	Some time men readen that there was	‘De duobus veris amicis’ (in Sithia and Climonen, part of 699)	 ‘De duobus veris amicis’; South English Legendary		friendship	— two-line — aa	
DIMEV 4984	Sometime there was a noble man	The Seuyn Sages of Rome — in short couplets; ‘A’ text	 The Seuyn Sages of Rome		tales; wise men; women, against	— two-line — aa	For ‘B’, ‘C’ and ‘D’ texts, see 4985, 4986 and 4987.
DIMEV 4985	"No records were found. Use the ""IMEV Number"" search menu to find the sample records                            entered in this prototype version of the database."	close					
DIMEV 4986	Sometime there was a noble man	The Seuyn Sages of Rome — in short couplets; ‘B’ text	 The Seuyn Sages of Rome		tales; wise men; women, against	— two-line — aa	For ‘A’, ‘C’ and ‘D’ texts, see 4984, 4986 and 4987.
DIMEV 4987	Sometime there was a noble man	The Seuyn Sages of Rome — in short couplets; ‘D’ text	 The Seuyn Sages of Rome		tales; wise men; women, against	— two-line — aa	For ‘A’, ‘B’ and ‘C’ texts, see 4984, 4985 and 4986.
DIMEV 4988	Some time there was an heathen man	Saints Savinian and Savina, in one MS of the South English Legendary	 South English Legendary		Savinian and Savina, saints	— two-line — aa	
DIMEV 4989	Sometime there was in Newton a hipping Hechi	Richard Newton (died 1336), rhymes on his daughter-in-law — 9 lines		Richard Newton	children’s rhymes		
DIMEV 4990	Some time this world was so steadfast and stable	Geoffrey Chaucer, ‘Lak of Stedfastnesse’ — four stanzas rhyme royal, including one-stanza Envoy	 Lak of Stedfastnesse	Geoffrey Chaucer	envoys; mutability; friends, false; transitoriness, of world; evils of the time; advice, to princes; princes, advice to	— seven-line — ababbcc	See 3563 for stanzas incorporated into another poem; editions which do not specify source include Urry (1721) XUrry, John. The Works of Geoffrey Chaucer. London: B. Lintot, 1721, 547; Chalmers (1810) XChalmers, Alexander. The Works of the English Poets from Chaucer to Cowper. London, 1810; repr. New York: Greenwood, 1969, 1.553-54; Clarke (1835) XClarke, Charles Cauder. The Riches of Chaucer. London: T. Tegg, 1835, 1839, 2.304.
DIMEV 4991	Some time was a monk in Savenay a holy man and good	The Monk who wished the least Joy of Paradise			monks; exempla		For the version in the Northern Homily Cycle, see 66.
DIMEV 4992	Sometime was in England a king of great fame	Life of St. Fremund in one MS of the South English Legendary	 South English Legendary		Fremund, saint, life of; saints’ lives	— two-line — aa	
DIMEV 4993	Some time was there a man of state	The Revelations of Methodius — 122 8-line stanzas			Methodius, saint; saints’ lives	— eight-line	
DIMEV 4994	Somewhat musing	Earl Rivers, written while imprisoned at Pontrefact — five 8-line stanzas		Anthony Wydeville (earl Rivers)	Rivers, Earl, Anthony Woodville, Lord Scales and second Earl Rivers; Woodville, Anthony, Lord Scales and second Earl Rivers	— eight-line	The music that accompanies all but one of the witnesses is by Robert Fayrfax.
DIMEV 4995	Son I shall thee show now take heed	A Father’s Instructions to his Son — two 12-line (ababababcdcd) and one 14-line stanzas			instruction, father to son; children, instructions for the behavior of	— twelve-line, fourteen-line — ababababcdcd	
DIMEV 4996	Son let not idleness you enslumber	Counsels by a father and mother — two 4-line stanzas			instructions; children, instructions for the behavior of	— four-line — aabb	Same as stanzas 1 & 2 of 6039.
DIMEV 4997	Son of Priamus gentle Paris of Troy	The Judgement of Paris — four stanzas rhyme royal			Troy, tales of	— seven-line — ababbcc	The Judgement of Paris
DIMEV 4998	Son one thing of charity I thee rede	On the way in which Mass is to be sung — ten lines			mass, instructions for; religious observance		
DIMEV 4999	Sonderly [Sunderly] his man astoned	William of Shoreham, ‘De Septem Sacramentis’, etc. — 320 7-line stanzas	 de Septem Sacramentis	William Shoreham	sacraments; religious instruction; instruction, religious	— seven-line stanza	
DIMEV 5000	Soon crooketh the tree	A proverbial couplet			proverbs	— two-line — aa	
DIMEV 5001	Soon so he haveth coperoun and the hood	On growing slack after entering a religious order — one couplet			religious, backsliding by; sermons, verse in; devil; translations	— two-line — aa	Cf. these verses, in Latin, said by a devil rewarded for serving a miller: Wright (1842) XWright, Thomas. A selection of Latin stories. Percy Society 8. London: Richard, 1842, 107.
DIMEV 5002	Soothly by Arthurs day	Sir Landeval — 535 lines in couplets	 Sir Landeval		romances	— two-line — aa	Cf. 930 and 1144.
DIMEV 5003	Soothly with true sins forsaking	Christ’s work and our response — seven lines translating their Latin equivalents (f. 135v) in John Grimestone’s sermon notebook		John Grimestone	sin; advice, spiritual; translations	— seven-line — aabbaaa	Introduced by ‘Vere per detestacionem peccatorum’.
DIMEV 5004	Sore I sigh and sore I may	Three sorrowful things — three couplets			sorrowful things, lists of	— two-line — aa	Cf. 6341.
DIMEV 5005	Sore this deer stricken is	William Cornish, An enigmatic stricken deer carol — six cross-rhymed quatrains with a 3-line burden: ‘Blow þy horn hunter and blow þi horne on hye / Ther ys a do in yonder wode in faith she woll not dy / ow blow þi hore hunter and blow þi horne joly hunter’		William Cornish	carols, amorous	— four-line — abab	Cf. 6503.
DIMEV 5006	Sorrow and say	A mid-thirteenth-century English scribble — three lines			nonsense verse; marriage, oath for	— three-line — alliteration, internal rhyme	
DIMEV 5007	Sorrow of his care	Works of mercy to one’s fellow men — five short lines (aabbb)			mercy, works of; almsgiving	— five-line — aabbb	
DIMEV 5008	Sorrowfulhood of death that stands and waiteth thee	Four things of which to be mindful — two couplets translating ‘Mos tua mors domini fraus mundi gloria celi / Et dolor inferni sint meditanda tibi’ which precedes them in John Grimestone’s preaching notebook		John Grimestone	advice, spiritual	— two-line — aa	Cf. Walther (1969) XWalther, Hans. Initia carmina ac versuum medii aevi posterioris latinorum. Göttingen, 1959; 2nd ed. 1969, no. 11275; bad key, no. 15210.
DIMEV 5009	Sorry is the fore	The Bitterness of Death — four couplets			death, approach of	— two-line — aa	For closely related lines see 2377, 5043, and 6610.
DIMEV 5010	Sother the holy pope in Champagne was I-bore	Life of St. Sother the Pope			Sother, pope, life of; saints’ lives	— two-line — aa	
DIMEV 5011	Souters have a nice pride	On the pride of shoemakers — one six-line stanza			shoemakers; poulterers	— six-line — aabccb	
DIMEV 5012	Sovereign and friends that be now here	Life of St. Katharine of Alexandria — in short couplets			Katherine of Alexandria, saint, life of; saints’ lives	— two-line — aa	Cf. 657.
DIMEV 5013	Sovereign Immortal Everlasting God	Epitaphium eiusdam Ducis Glowcestrie, A.D. 1447 — thirteen 8-line stanzas with refrain, ‘Have mercy on hym buryed in this sepulture’	 Epitaphium eiusdam Ducis Glowcestrie		epitaphs; Humphrey, duke of Gloucester; historical poems	— eight-line — ababbcbc	
DIMEV 5014	Sovereign lord in earth most excellent	A carol for the king (perhaps Henry VII) — two stanzas rhyme royal and burden: ‘Enforce yourself as goddis knyght / To strenkyþ your comyns in þer ryght’ (repeated)		Edmund Turges	carols, political; Henry VII	— seven-line — ababbcc	
DIMEV 5015	Sovereign Lord welcome to your city	John Lydgate, a roundel (14 lines) sung by Fourteen Virgins, inserted in the pageant verses for the entry of Henry VI into London, in Fabyan’s Chronicle, Part VII, Septima Pars, Henrici Sexti — two stanzas rhyme royal		John Lydgate	roundels; pageant verses; occasional verse; Henry VI, return to London, 1432; chronicles, verse in	— seven-line — ababbcc	For words of welcome from the Fourteen virgins that precede this, see 1617; see also 6060.
DIMEV 5016	Sovereigns and sirs if it be your wille	The Life of St. Anne — 460 lines in quatrains			Anne, saint, life of; saints’ lives	— four-line — abab	
DIMEV 5017	Spare when he may	Inscription on a copper jug, c. 1377-1399 — 4 lines.			inscriptions		
DIMEV 5018	Speak French and construe art	A proverbial saying — one couplet			proverbs; advice	— two-line — aa	
DIMEV 5019	Spear and cross nail death and thorn	Christ speaks of his sufferings — one couplet translating ‘Lancea crux claui mors spine quam toilleraui’ which precedes it in John Grimestone’s preaching notebook		John Grimestone	translations; Christ, sufferings of	— two-line — aa	Walther (1969) XWalther, Hans. Initia carmina ac versuum medii aevi posterioris latinorum. Göttingen, 1959; 2nd ed. 1969, no. 10100; Walther (1963) XWalther, Hans. Proverbia sententiaque latinitatis medii aevi. 6 vols. Göttingen, 1963-69, no. 13434a.
DIMEV 5020	Spell yet I would speak if I could	Dialogue between the Virgin Mary and St. Bernard on the Passion (incorporated in the Cursor Mundi — in 104 6-line stanzas preceded by a six-couplet introduction	 Cursor Mundi		dialogues; Virgin Mary, as speaker in debate; Bernard of Clairveaux, saint; Passion	— six-line — aabccb	For other versions see 1275 and 3066.
DIMEV 5021	Spend and God shall send	On Penny — five lines			money	— five-line — abbbc	Cf. 4361.
DIMEV 5022	Spend thy time some other way	Advice to youths to leave women alone — four couplets			women, against; advice, to lovers	— two-line — aa	
DIMEV 5023	Spend well and fly from sin	Advice about how to enter heaven — one couplet			precepts; Norwich; inscriptions; Marsham, John, Mayor of Norwich	— two-line — aa	
DIMEV 5024	Squire come near if it your will be	Geoffrey Chaucer, the ‘Squire’s Headlink’ of the Canterbury Tales — 8 lines in couplets.	 ‘Squire’s Headlink’; Squire’s Prologue; Canterbury Tales	Geoffrey Chaucer	pilgrims/pilgrimage; love; links	— couplets — aa	These lines are almost always conjoined with IV.2419-40 (745), the ‘Merchant’s Endlink’, though in some MSS the references to ‘Squire‭ are altered to ‘Franklin’ to function as a prologue to the Franklin’s Tale.
DIMEV 5025	Stalwartly / lovely	Five rhyming phrases add beside a sermon, De Passione Cristi — five lines monorhyming			Christ, Passion of; sermons, verse in	— five-line — aaaaa	
DIMEV 5026	Stand and behold every man	A translation of ‘O vos omnes’ (Lam. 1.12) — one couplet			Christ, appeal of, to man; translations	— two-line — aa	For other versions, see 4113, 6231, 6839, 6843.
DIMEV 5027	Stand awhile / and run a mile	Proverbial saying about resting between work — one couplet			proverbs; advice	— two-line — aa	
DIMEV 5028	Stand outer from the fire	An inscription on a late fourteenth-century jug — one couplet plus a one-line prayer			inscriptions	— two-line — aa	
DIMEV 5029	Stand stiffly Gods knight	The Christian Knight — three couplets			knights, behavior of	— two-line — aa	
DIMEV 5030	Stand well mother under rood	A version of the Sequence ‘Stabat iuxta Christi crucem’ — in 6-line stanzas (aabccb)	 Stabat iuxta Christi crucem;		liturgical texts; Virgin Mary; translations; dialogues, Virgin and Christ; songs	— six-line — aabccb	
DIMEV 5031	Staunch blood staunch blood	A charm to stop bleeding — four short lines			charms		
DIMEV 5032	Steadfast Cross among all other	Paraphrase of the hymn ‘Crux fidelis’ — six lines	 ‘Crux fidelis’		Cross; paraphrases; hymns	— seven-line — ababcdd	
DIMEV 5033	Steeds there stumbled in that stound	On the Battle of Agincourt — eight 8-line stanzas (ababbcbc)			Agincourt, battle of; historical poems	— eight-line — ababbcbc	Cf. Emmerig (1906) XEmmerig, Oskar. “The Bataile of Agyncourt.” Lichte geschichtlicher Quellenwerke, I. Nurnberg: Wieser, 1906.
DIMEV 5034	Steel is good I say no other	Women compared to steel — five quatrains and burden: ‘War yt war yt war yt wele / Wemen be as trew as stele’			women; carols, of women	— four-line — aaab	
DIMEV 5035	Still then stood Sir Zacharie	Gospel, ‘In die sancti Iohannis ad missam matutinalem,’ in the Northern Homily Cycle	 Northern Homily Cycle		sermon texts, Gospel	— two-line — aa	Followed by 6313 without break in Oxford, Bodleian Library Ashmole 42 (SC 6923), Cambridge UK, Cambridge University Library Dd.1.1, San Marino, CA, Henry Huntington Library HM 129 [olim Phillipps 20420].
DIMEV 5036	Stones been hard and heavy and wight	A couplet			proverbs	— two-line — aa	
DIMEV 5037	Stones been pierced with drops of rain	A verse tag in a collection of sermons by John Waldeby — three monorhyming lines		John Waldeby	sermons, verse in	— three-line — aaa	
DIMEV 5038	Stood she there nigh	‘Compassio Marie’, based on ‘Stabat iuxta Christi crucem’ — seven 6-line stanzas	 ‘Compassio Marie’		Virgin Mary	— six-line — aabccb	Begins part way through the last line of stanza 4; cf. 2831.
DIMEV 5039	Stories to read are delightable	Barbour’s Bruce — about 13,550 lines in couplets	 Bruce	John Barbour	historical poems	— two-line — aa	
DIMEV 5040	Straight shall be the ways on him that beth sinful	On the Terror of the Judgment — six couplets			Doomsday	— two-line — aa	
DIMEV 5041	Strange men that needeth	Peaceful England — 26 lines in couplets, in Trevisa’s translation of Higden’s Polychronicon (Book I, chap. 41)	 Polychronicon	John Trevisa; Ranulph Higden	political poems; chronicles, verse in	— two-line — aa	
DIMEV 5042	Stroke owl and scrape owl and ever is owl owl	A proverb in Nicholas Bozon’s Contes moralisés	 Contes moralisés	Nicholas Bozon	proverbs		
DIMEV 5043	Strong it is to flit	The Bitterness of Death — twelve lines, mainly in couplets			death, approach of	— two-line — aa	For closely related lines see 2377, 5009, and 6610.
DIMEV 5044	Such a lady so true I never none	To the Virgin Mary — thirteen lines			Virgin Mary, prayers to; prayers, to Virgin Mary		
DIMEV 5045	Such a law is in this land	Verses on the law ‘fidedere’ — five quatrains, aaab, with refrain, ‘But he can syng fi dedere’ and Burden: ‘Hov wol spede al [cropped at top] / he most syng fi dedere’				— four-line — aaab	
DIMEV 5046	Such as I am such shall ye be	Epitaph of Simon and Agnes Street, A.D. 1440, at St. Anthony’s Church, London — eleven lines in couplets			epitaphs; inscriptions; Street, Simon and Agnes, of London	— two-line — aa	Cf. 5047.
DIMEV 5047	Such as ye be some time were we	Epitaph reminding readers of transitoriness of life — varying number of couplets			epitaphs; transitoriness, of life; inscriptions; Drury, Robert, sir; Chichele, William; Woode, John	— two-line — aa	
DIMEV 5048	Such semblant Christ shall maken to thee above	The reward for following Christ — one couplet translating ‘Tali wultu respiciet te Dominus ea que facis cum quali facis’ which precedes it in John Grimestone’s sermon notebook		John Grimestone	proverbs	— two-line — aa	
DIMEV 5049	Suffiseth now this grave to whom all earthly thing	Epitaph for Henry II on his tomb at Font Everard, translating Latin verses which precede it, in Part VII of Fabyan’s Chronicle, Part VII, cap. 240 — two stanzas rhyme royal			chronicles, verse in; epitaphs	— seven-line — ababbcc	
DIMEV 5050	Summa totalis	On the difficulties of logic — seven macaronic couplets			school lessons; liberal arts, seven	— two-line — aa	
DIMEV 5051	Summer is comen and winter gone	A song of the Passion — eight l0-line stanzas (ababccdeed)			Christ, passion of; Passion	— ten-line — ababccdeed	
DIMEV 5052	Summer is comen with love to toun	The Thrush and the Nightingale — in 12-line stanzas	 The Thrush and the Nightingale		birds, as narrators; dialogues, bird; women, debates concerning	— twelve-line — aabccbddbeeb	
DIMEV 5053	Summer is I-cumen in	The Cuckoo Song — fourteen irregular lines	 The Cuckoo Song; Svmer is icumen in		seasons; summer; songs; translations	— irregular	
DIMEV 5054	Summer passed	(?)Robert Copland, The xv Ioyes of Maryage, a translation, perhaps by Robert Copland, of Antoine de la Sale’s Les quinze joyes de mariage — Prologue in eleven 7-line stanzas, Prohemye in thirty 7-line stanzas, text in couplets	 The xv Ioyes of Maryage	Robert Copland (?)	marriage	— seven-line — two-line	
DIMEV 5055	Summer that ripest mans sustenance	Thomas Hoccleve, Roundel to Henry Somer — fourteen lines	 Roundel to Henry Somer	Thomas Hoccleve	Somer, Henry	— roundel	
DIMEV 5056	Sung all with one steven	English couplet describing the shepherds’ songs in a French picture Bible			songs; illustrations, verse accompanying	— two-line — aa	
DIMEV 5057	Sure song in time past hath been doun a doun	A ‘ballet’ sung at the Conduit in Cheap in honor of Edward VI, c. 1548 — six long quatrains (aabb) and burden: ‘Syng vp hart syng up hart an[d] syng no more do[w]ne / But joy in king edward þat wereth the crowne’			carols, political; occasional verse; Edward VI	— four-line — aabb	
DIMEV 5058	Sure ye remember as of before	William Dunbar, To the King — seventeen 5-line stanzas with refrain: ‘Exces of thocht dois me mischeif’		William Dunbar		— five-line — aabab	Cf. 4151 and 4161.
DIMEV 5059	Surge mea sponsa so sweet in sight	‘Veni coronaberis’, a song of Christ to the Virgin Mary — nine 8-linestanzas	 ‘Veni coronaberis’		Christ, address to Virgin Mary	— eight-line	
DIMEV 5060	Surrexit Dominus de sepulchro	William Dunbar (attrib.), On the resurrection — five 8-line stanzas with refrain, ‘Surrexit sicut dixit allalue’			Christ, burial and resurrection	— eight-line — ababbcbc	Cf. 1143.
DIMEV 5061	Sustain abstain keep well in your mind	Advice regarding abstenance and forbearance — five stanzas rhyme royal with refrain, ‘Amonges all other for the moste happy’ or ‘Of all other shalbe most happy’			advice; abstenance	— seven-line — ababbcc	
DIMEV 5062	Swart smoked smiths smattered with smoke	A satire against the blacksmiths — twenty-two long alliterative lines			satires; estates literature; occupations	— alliteration	
DIMEV 5063	Swear not lie not nor filthily talk	Moral advice for good behavior — one couplet			advice, moral; aphorisms	— two-line — aa	
DIMEV 5064	Sweet and benign Mother and May	William Huchen, An orison to the Virgin Mary — seven stanzas rhyme royal (with acrostic on ‘stanlei’, Sir Thomas, Baron Stanley, A.D. 1459)		William Huchen	acrostics; Virgin Mary, prayers to; prayers, to Virgin Mary; Stanley, Thomas, baron	— seven-line — ababbcc	
DIMEV 5065	Sweet beth swines-bread	Proverbial saying in a Latin sermon — two rough couplets			sermons, verse in; proverbs	— two-line — aa	
DIMEV 5066	Sweet heart be true	A religious love parody — seven 6-line stanzas			parodies; love lyrics, satiric	— six-line — aabccb	Cf. 3394, 5227
DIMEV 5067	Sweet heart I love you more fervent than my father	A letter from a lady to her fickle lover — two 8-line stanzas			love letters; love, vicissitudes of; women, as speakers/narrators	— eight-line — ababbcbc	
DIMEV 5068	Sweet heart / Mercy	Sweet love, I die, by Charles d’Orléans — three stanzas of six short lines each		Charles d’Orléans	lovers, addresses to beloved	— six-line — abaaab	
DIMEV 5069	Sweet Jesu Christ Gods Son of live	The Hours of the Cross — seventeen couplets			Cross, hours of	— two-line — aa	
DIMEV 5070	Sweet Jesu Christ to Thee / A guilty wretch I yield me	A Prayer of Confession — in couplets			prayers, of confession	— two-line — aa	For other MSS see 5072.
DIMEV 5071	Sweet Jesu Christ to Thee / A sinful wretch I yield me	A series of petitions to Jesus, the Virgin Mary, Angels, Apostles, etc. — forty-six long lines			prayers, to Christ; prayers, to Virgin Mary; prayers, to guardian angel; prayers, to saints	— two-line — aa	Closely resembles 4729, 5070, 5072, and 5083.
DIMEV 5072	Sweet Jesu Christ to Thee / Culpable wretch I yield me	A prayer of Confession — in couplets			prayers, of confession; confession, forms of	— two-line — aa	For other MSS see 5070 and 6120.
DIMEV 5073	Sweet Jesu hende and free	A homily by Friar Michael Kildare — fifteen 10-line stanzas		Friar Michael Kildare	sermons; vanity, against worldly	— ten-line — aaabababab	
DIMEV 5074	Sweet Jesu is come to us	A nativity carol on life of Jesus — twenty-one 6-line stanzas (aabccb) plus burden: ‘Hey now now now’			carols, Nativity; Christ, life of	— six-line — aabccb	
DIMEV 5075	Sweet Jesu king of bliss	A hymn based on the Iesu dulcis memoria — fifteen monorhyming quatrains			hymns, to Christ; Christ, hymns to	— four-line — aaaa	This hymn was later combined with 2899 in an expanded version, 5077; cf. also 2900 and 2936. The quatrain (=stanza 14 of London, British Library Harley 2253) appears separately as ‘Ora pro Anglia, Sancta Maria, quod Thomas Cantuaria’, in some early prints of Chaucer; cf. Purves (1870) XPurves, David Laing. The Canterbury Tales and Faerie Queene. Edinburgh: Nimmo, 1870, 292; & Gilman (1879) XGilman, . The Poetical Works of Geoffrey Chaucer. Boston: Houghton, Osgood, 1879, 3.655.
